objectID,title,objectName,department,culture,period,dynasty,objectDate,medium,creditLine,accessionYear,excavation,geographyType,origin_label,origin_precision,origin_lat,origin_lon,met_lat,met_lon,primaryImage,objectURL,objectWikidata_URL
543898,Vase in the Shape of Mother Monkey with Her Young,"Vase, monkey, baby",Egyptian Art,,Old Kingdom,Dynasty 6,ca. 2255–2246 B.C.,"Travertine (Egyptian alabaster), paint, resin and pigment","Theodore M. Davis Collection, Bequest of Theodore M. Davis, 1915",1930,,From,Egypt,country,26.8206,30.8025,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/eg/original/DT8834.jpg,https://www.metmuseum.org/art/collection/search/543898,https://www.wikidata.org/wiki/Q116252308
543899,The King's Acquaintances Memi and Sabu,"Statue, standing pair, Memi, Sabu",Egyptian Art,,Old Kingdom,Dynasty 4,ca. 2575–2465 B.C.,"Limestone, paint","Rogers Fund, 1948",1948,,Probably from,Giza,subregion,29.9765,31.1313,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/eg/original/DT8836.jpg,https://www.metmuseum.org/art/collection/search/543899,https://www.wikidata.org/wiki/Q29385735
543900,Nikare as a scribe,"Statue, Nikare, scribe",Egyptian Art,,Old Kingdom,Dynasty 5,ca. 2420–2389 B.C. or later,"Granite, paint","Rogers Fund, 1948",1948,,From,Saqqara,subregion,29.8714,31.2164,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/eg/original/DP240451.jpg,https://www.metmuseum.org/art/collection/search/543900,https://www.wikidata.org/wiki/Q116252307
543901,Nikare with his Wife and Daughter,"Statue group, Nikare, wife, daughter",Egyptian Art,,Old Kingdom,Dynasty 5,ca. 2420–2389 B.C. or later,"Limestone, paint","Rogers Fund, 1952",1952,,Probably from,Saqqara,subregion,29.8714,31.2164,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/eg/original/DT242488.jpg,https://www.metmuseum.org/art/collection/search/543901,https://www.wikidata.org/wiki/Q29385737
543902,Statue of Demedji and Hennutsen,"Statue, seated pair, Demedji, Hennutsen",Egyptian Art,,Old Kingdom,Dynasty 5,ca. 2465–2438 B.C.,"Limestone, paint","Rogers Fund, 1951",1951,,Probably from,Giza or Saqqara,subregion,29.924,31.1739,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/eg/original/DT521.jpg,https://www.metmuseum.org/art/collection/search/543902,https://www.wikidata.org/wiki/Q116252296
543903,Striding Figure,"Statue, striding man",Egyptian Art,,Old Kingdom,Dynasty 4,ca. 2575–2465 B.C.,"Quartzite, paint","Harris Brisbane Dick Fund, 1962",1962,,Possibly from,Elkab,subregion,25.1167,32.8,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/eg/original/DT206639.jpg,https://www.metmuseum.org/art/collection/search/543903,https://www.wikidata.org/wiki/Q29385739
543904,Wall tiles from the funerary apartments of king Djoser,"Tile, apartments of King Djoser",Egyptian Art,,Old Kingdom,Dynasty 3,ca. 2630–2611 B.C.,faience,"Rogers Fund, by exchange, 1948",1948,,From,Saqqara,subregion,29.8714,31.2164,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/eg/original/DT258569.jpg,https://www.metmuseum.org/art/collection/search/543904,https://www.wikidata.org/wiki/Q116252293
543905,Nursing woman,"Statuette, woman and child",Egyptian Art,,Old Kingdom,Dynasty 5,ca. 2420–2389 B.C. or later,"Limestone, paint traces","Purchase, Edward S. Harkness Gift, 1926",1926,,Probably from,Giza,subregion,29.9765,31.1313,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/eg/original/DT259182.jpg,https://www.metmuseum.org/art/collection/search/543905,https://www.wikidata.org/wiki/Q116252294
543906,Kneeling captive,"Statue, kneeling captive",Egyptian Art,,Old Kingdom,Dynasty 6,ca. 2246–2152 B.C.,"Limestone, paint","Purchase, Louis V. Bell Fund, 1964",1964,,From,Saqqara,subregion,29.8714,31.2164,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/eg/original/LC-64_260_EGDP029712.jpg,https://www.metmuseum.org/art/collection/search/543906,https://www.wikidata.org/wiki/Q116413365
543907,False door from the tomb of Metjetji,"False door, tomb of Metjetji",Egyptian Art,,Old Kingdom,Dynasty 5–6,ca. 2353–2323 B.C.,"Limestone, paint traces","Gift of Mr. and Mrs. J. J. Klejman, 1964",1964,,From,Saqqara,subregion,29.8714,31.2164,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/eg/original/DT204647.jpg,https://www.metmuseum.org/art/collection/search/543907,https://www.wikidata.org/wiki/Q116252289
