objectID,origin_label,origin_label_en,origin_precision,origin_lat,origin_lon,origin_country,origin_country_en,museum_lat,museum_lon
met:543901,Saqqara,Saqqara,subregion,29.8714,31.2164,Egipto,Egypt,40.7794,-73.9632
met:543902,Giza or Saqqara,Giza or Saqqara,subregion,29.924,31.1739,Egipto,Egypt,40.7794,-73.9632
met:543903,Elkab,Elkab,subregion,25.1167,32.8,Egipto,Egypt,40.7794,-73.9632
met:543904,Saqqara,Saqqara,subregion,29.8714,31.2164,Egipto,Egypt,40.7794,-73.9632
met:543905,Giza,Giza,subregion,29.9765,31.1313,Egipto,Egypt,40.7794,-73.9632
met:543906,Saqqara,Saqqara,subregion,29.8714,31.2164,Egipto,Egypt,40.7794,-73.9632
met:543907,Saqqara,Saqqara,subregion,29.8714,31.2164,Egipto,Egypt,40.7794,-73.9632
met:543908,Egipto,Egypt,country,26.8206,30.8025,Egipto,Egypt,40.7794,-73.9632
met:543909,Giza,Giza,subregion,29.9765,31.1313,Egipto,Egypt,40.7794,-73.9632
met:543910,Hurbeit (Pharbaethos),Hurbeit (Pharbaethos),subregion,30.65,31.65,Egipto,Egypt,40.7794,-73.9632
met:543911,Lisht North,Lisht North,subregion,29.5667,31.2167,Egipto,Egypt,40.7794,-73.9632
met:543912,Saqqara,Saqqara,subregion,29.8714,31.2164,Egipto,Egypt,40.7794,-73.9632
met:543913,,,unresolved,,,,,40.7794,-73.9632
met:543914,Saqqara,Saqqara,subregion,29.8714,31.2164,Egipto,Egypt,40.7794,-73.9632
met:543915,Saqqara,Saqqara,subregion,29.8714,31.2164,Egipto,Egypt,40.7794,-73.9632
met:543916,Saqqara,Saqqara,subregion,29.8714,31.2164,Egipto,Egypt,40.7794,-73.9632
met:543917,Giza,Giza,subregion,29.9765,31.1313,Egipto,Egypt,40.7794,-73.9632
met:543918,Giza,Giza,subregion,29.9765,31.1313,Egipto,Egypt,40.7794,-73.9632
met:543919,Giza,Giza,subregion,29.9765,31.1313,Egipto,Egypt,40.7794,-73.9632
met:543920,Egipto,Egypt,country,26.8206,30.8025,Egipto,Egypt,40.7794,-73.9632
met:543921,Saqqara,Saqqara,subregion,29.8714,31.2164,Egipto,Egypt,40.7794,-73.9632
met:543922,Saqqara,Saqqara,subregion,29.8714,31.2164,Egipto,Egypt,40.7794,-73.9632
met:543923,Saqqara,Saqqara,subregion,29.8714,31.2164,Egipto,Egypt,40.7794,-73.9632
met:543924,Saqqara,Saqqara,subregion,29.8714,31.2164,Egipto,Egypt,40.7794,-73.9632
met:543925,Abydos,Abydos,subregion,26.1833,31.9192,Egipto,Egypt,40.7794,-73.9632
met:543926,Egipto,Egypt,country,26.8206,30.8025,Egipto,Egypt,40.7794,-73.9632
met:543927,Egipto,Egypt,country,26.8206,30.8025,Egipto,Egypt,40.7794,-73.9632
met:543928,Egipto,Egypt,country,26.8206,30.8025,Egipto,Egypt,40.7794,-73.9632
met:781871,Irán,Iran,region,32.4279,53.688,Irán,Iran,40.7794,-73.9632
met:820847,,,unresolved,,,,,40.7794,-73.9632
met:891607,French,French,culture,48.8566,2.3522,,,40.7794,-73.9632
met:918237,British,British,culture,51.5074,-0.1278,Reino Unido,United Kingdom,40.7794,-73.9632
met:969159,,,unresolved,,,,,40.7794,-73.9632
met:910742,"Ur, Irak (referencia temática de la obra)","Ur, Iraq (the artwork's thematic reference)",editorial,30.9626,46.1039,Irak,Iraq,40.7794,-73.9632
